id,parentIssueID,issueDate,resolvedDate,dateRangeStart,dateRangeEnd,locationAffected,issue,resolution
45804,,2022-01-19T00:00:00Z,2022-01-15T00:00:00Z,2018-08-01T00:00:00Z,2018-08-31T00:00:00Z,"JORN, SRER","Original algorithm did not take advantage of improvements in the Riegl Lidar to handle short stature vegetation. CHM heights < 2 m were set to zero, instead of heights < 2/3 m.",Algorithm was updated to improve data product quality for short stature vegetation when the Riegl lidar was used for data collection.
45909,,2022-01-20T00:00:00Z,2022-03-31T00:00:00Z,2016-07-01T00:00:00Z,2016-07-31T00:00:00Z,STEI,Files referenced in incorrect UTM zone (16N) for the Chequamegon-Nicolet National Forest region of STEI.,Files were reprocessed and referenced within the correct UTM zone (15N).
63004,,2022-08-09T00:00:00Z,2024-01-15T00:00:00Z,2020-06-01T00:00:00Z,2020-06-30T00:00:00Z,CPER,Data was incorrectly referenced to UTM Zone 33N instead of Zone 13N,"Data was reprocessed as part of RELEASE-2024 CHM reprocessing effort, and UTM zone reference was correctly set to 13N."
74606,,2022-12-08T00:00:00Z,2022-12-08T00:00:00Z,2018-05-01T00:00:00Z,2018-05-31T00:00:00Z,ORNL,Some 'No Data' values at site edges coded as NaNs instead of -9999.,
86104,,2024-12-20T00:00:00Z,2024-01-26T00:00:00Z,2013-04-01T00:00:00Z,2022-09-30T00:00:00Z,All sites,The algorithm for determining the canopy height model (CHM) introduced artifacts which could be identified by viewing a histogram of canopy heights across the entire survey. Artifacts manifested as sharp reductions in canopy height at 5 m intervals.,Applied an updated implementation of the CHM algorithm which removed artifacts. See https://www.neonscience.org/impact/observatory-blog/aop-data-availability-notification-release-2024 for more details.
90504,,2024-02-01T00:00:00Z,,2018-04-23T00:00:00Z,2018-04-25T00:00:00Z,CLBJ,"AOP discrete lidar point cloud data were found to have abnormally high noise levels, which the standard noise filtering algorithms did not correctly classify. This mis-classification passed through to higher-level data products.  In most cases, a small portion of each site is affected by this issue, and the large majority of the site is still accurately classified.",
90505,90504.0,2024-02-01T00:00:00Z,,2019-01-01T00:00:00Z,2019-08-31T00:00:00Z,"MOAB, PUUM, REDB, UKFS","AOP discrete lidar point cloud data were found to have abnormally high noise levels, which the standard noise filtering algorithms did not correctly classify. This mis-classification passed through to higher-level data products.  In most cases, a small portion of each site is affected by this issue, and the large majority of the site is still accurately classified.",
90506,90504.0,2024-02-01T00:00:00Z,,2021-04-28T00:00:00Z,2021-04-30T00:00:00Z,MOAB,"AOP discrete lidar point cloud data were found to have abnormally high noise levels, which the standard noise filtering algorithms did not correctly classify. This mis-classification passed through to higher-level data products.  In most cases, a small portion of each site is affected by this issue, and the large majority of the site is still accurately classified.",
90507,90504.0,2024-02-01T00:00:00Z,,2022-08-02T00:00:00Z,2022-08-12T00:00:00Z,TOOL,"AOP discrete lidar point cloud data were found to have abnormally high noise levels, which the standard noise filtering algorithms did not correctly classify. This mis-classification passed through to higher-level data products.  In most cases, a small portion of each site is affected by this issue, and the large majority of the site is still accurately classified.",
97306,,2024-11-15T00:00:00Z,2025-01-29T00:00:00Z,2014-05-18T00:00:00Z,2014-06-02T00:00:00Z,"DSNY, HARV","Mis-alignment in the discrete lidar line to line adjustments. Some portions of the flight box were found to have up to ~meters vertical differences between flight lines, which affected all downstream lidar products.",Lidar lines were properly aligned using BayesMap StripAlign software and downstream L3 lidar raster products re-processed.
97307,97306.0,2024-11-15T00:00:00Z,2025-01-29T00:00:00Z,2018-07-14T00:00:00Z,2018-07-16T00:00:00Z,ABBY,"Mis-alignment in the discrete lidar line to line adjustments. Some portions of the flight box were found to have up to ~meters vertical differences between flight lines, which affected all downstream lidar products.",Lidar lines were properly aligned using BayesMap StripAlign software and downstream L3 lidar raster products re-processed.
99211,,2025-02-04T00:00:00Z,,2022-07-07T00:00:00Z,2022-07-19T00:00:00Z,"ARIK, WREF",Missing lidar flight lines from one of the flight days.,
